subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102158584_2684246741649013381,2684246741649013381,102158584,268.42467411554617,64.90133815975773,2496.0,6.700502395629883,0.8442814828449515,C,10
discovery_engine,102159483_2649609676663872881,2649609676663872881,102159483,264.96096768812345,66.38728810952757,1042.0,5.028299331665039,1.486423038440858,C,10
discovery_engine,102160060_2713246513673006755,2713246513673006755,102160060,271.3246513315758,67.30067555471395,265.0,1.407665491104126,0.6442814828449516,C,10
discovery_engine,102158588_2730711937650971562,2730711937650971562,102158588,273.0711937122832,65.0971562504116,1111.0,3.439827680587769,1.1453894703550431,C,10
discovery_engine,102158583_2666942307651520406,2666942307651520406,102158583,266.6942307060368,65.15204064910925,1696.0,4.193866729736328,0.5062786427306063,C,10
discovery_engine,102158583_2674909195648793961,2674909195648793961,102158583,267.4909195027654,64.87939618981366,1625.0,7.147694110870361,0.8468784904361787,C,10
discovery_engine,102159194_2727710312660809859,2727710312660809859,102159194,272.771031258172,66.08098592050754,876.0,1.5905797481536863,0.8747398561323638,C,9
discovery_engine,102160336_2685084962682049281,2685084962682049281,102160336,268.5084962055178,68.20492815466524,29222.0,26.063257217407227,2.2442814828449515,A,10
discovery_engine,102158270_2654630828645925284,2654630828645925284,102158270,265.46308281402,64.59252842992812,11280.0,17.909780502319336,0.5840361849852818,C,9
discovery_engine,102159778_2733418388668044661,2733418388668044661,102159778,273.3418388879678,66.8044661007292,973.0,1.621758222579956,3.0680838382431634,A,17
discovery_engine,102159194_2720182368661063858,2720182368661063858,102159194,272.018236858689,66.10638585368493,363.0,1.2053929567337036,0.5825307735007618,C,10
discovery_engine,102160335_2679013660678445263,2679013660678445263,102160335,267.9013660430573,67.84452631989706,363.0,0.624070942401886,1.1754972232621328,C,10
discovery_engine,102159487_2709810502664507896,2709810502664507896,102159487,270.98105025431335,66.4507896350975,731.0,5.077225208282471,0.680486462750135,C,10
discovery_engine,102158275_2712381682645980356,2712381682645980356,102158275,271.23816822852723,64.59803565443195,533.0,0.9986147284507751,0.769011006510726,C,10
discovery_engine,102158270_2658155561645042142,2658155561645042142,102158270,265.8155561604588,64.50421421353147,448.0,0.8325686454772949,1.0747981295504032,C,8
discovery_engine,102160063_2748750522677470688,2748750522677470688,102160063,274.87505221243174,67.74706885936631,6181.0,9.279083251953123,0.9393272107546996,C,10
discovery_engine,102159196_2750719383660442039,2750719383660442039,102159196,275.0719383791194,66.04420394490067,448.0,0.7808570861816406,2.046079810747316,A,10
discovery_engine,102160334_2671626647680071775,2671626647680071775,102160334,267.1626647932867,68.00717753875819,1439.0,3.734234809875488,1.376506751303729,C,10
discovery_engine,102158584_2683596446647545481,2683596446647545481,102158584,268.3596446884735,64.75454810383339,3191.0,10.371828079223633,0.5977279891315069,C,10
discovery_engine,102158895_2743711687656088879,2743711687656088879,102158895,274.37116878145736,65.60888795170064,1891.0,3.248454332351685,0.8861216156540379,C,10
discovery_engine,102157959_2731443491642106141,2731443491642106141,102157959,273.14434917640153,64.21061416899774,962.0,2.748441219329834,1.4377987895068958,C,10
discovery_engine,102159190_2672257351658785268,2672257351658785268,102159190,267.22573512627173,65.87852682965087,730.0,2.680124998092652,1.085299544898103,C,10
discovery_engine,102158886_2634844253652766955,2634844253652766955,102158886,263.4844253996918,65.27669559359313,619.0,0.8116331100463867,0.5538815892922396,C,10
discovery_engine,102158584_2687900321650859511,2687900321650859511,102158584,268.79003210743605,65.08595110358115,1202.0,4.160053253173828,3.158401407051961,A,17
discovery_engine,102159190_2678548089657542455,2678548089657542455,102159190,267.85480894918766,65.75424556517181,1072.0,2.139580488204956,1.1442814828449517,C,10
discovery_engine,102158275_2719331119643884219,2719331119643884219,102158275,271.93311195260526,64.38842193971169,1147.0,3.6928086280822754,1.4691546936583395,C,10
